Score, Film Name, Year, Date Rated, Mini Review, URL, IMDB ID
100,"Lust, Caution",2007,"Jan 16 2013, 21:54","",https://www.criticker.com/film/Lust-Caution/,tt0808357
100,"The Piano",1993,"Feb 06 2023, 08:52","",https://www.criticker.com/film/The-Piano/,tt0107822
100,"The Tree of Life",2011,"Nov 13 2012, 02:04","",https://www.criticker.com/film/The-Tree-of-Life/,tt0478304
99,"Cosmos",1980,"Mar 12 2016, 00:53","",https://www.criticker.com/tv/Cosmos/,tt0081846
99,"The Godfather: A Novel for Television",1977,"Aug 13 2012, 17:14","",https://www.criticker.com/tv/The-Godfather-A-Novel-for/,tt0809488
99,"The Wolf of Wall Street",2013,"Oct 12 2018, 10:23","",https://www.criticker.com/film/The-Wolf-of-Wall-Street/,tt0993846
98,"Grizzly Man",2005,"Feb 15 2012, 00:48","",https://www.criticker.com/film/Grizzly-Man/,tt0427312
98,"Monty Python and the Holy Grail",1975,"Feb 13 2012, 14:23","",https://www.criticker.com/film/Monty-Python-and-the-Holy/,tt0071853
98,"The Vietnam War",2017,"Oct 02 2020, 21:44","",https://www.criticker.com/tv/The-Vietnam-War/,tt1877514
98,"Waltz with Bashir",2008,"Feb 13 2012, 14:14","",https://www.criticker.com/film/Waltz-with-Bashir/,tt1185616